source,target,time
Luther,Melanchthon,0
Luther,Melanchthon,3
Luther,Melanchthon,15
Luther,Melanchthon,21
Luther,Melanchthon,26
Luther,Melanchthon,34
Luther,Melanchthon,42
Luther,Melanchthon,48
Luther,Melanchthon,65
Luther,Melanchthon,70
Melanchthon,Bullinger,2
Melanchthon,Bullinger,8
Melanchthon,Bullinger,19
Melanchthon,Bullinger,23
Melanchthon,Bullinger,27
Melanchthon,Bullinger,40
Melanchthon,Bullinger,46
Melanchthon,Bullinger,57
Melanchthon,Bullinger,66
Melanchthon,Bullinger,79
Bucer,Melanchthon,110
Bucer,Melanchthon,113
Bucer,Melanchthon,115
Bucer,Melanchthon,121
Bucer,Melanchthon,126
Bucer,Melanchthon,134
Bucer,Melanchthon,142
Bucer,Melanchthon,148
Bucer,Melanchthon,165
Bucer,Melanchthon,170
Melanchthon,Calvin,112
Melanchthon,Calvin,118
Melanchthon,Calvin,129
Melanchthon,Calvin,133
Melanchthon,Calvin,137
Melanchthon,Calvin,150
Melanchthon,Calvin,158
Melanchthon,Calvin,157
Melanchthon,Calvin,166
Melanchthon,Calvin,180
